0->,Freq:500MHz,,dBm:10,,Reading:0.3723dB,,LowLimit:9.1,,HighLimit:10.9,,CableLoss:9.4129,,Result:Pass,,TestTime:3293ms
32->,Freq:2100MHz,,dBm:10,,Reading:-0.4532dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:10.0134,,Result:Pass,,TestTime:3339ms
33->,Freq:2150MHz,,dBm:10,,Reading:-0.3548dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:9.9142,,Result:Pass,,TestTime:3289ms
34->,Freq:2200MHz,,dBm:10,,Reading:-0.4501dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:9.9408,,Result:Pass,,TestTime:3271ms
35->,Freq:2250MHz,,dBm:10,,Reading:-0.5134dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:9.9337,,Result:Pass,,TestTime:3277ms
36->,Freq:2300MHz,,dBm:10,,Reading:-0.4036dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:9.9730,,Result:Pass,,TestTime:3289ms
37->,Freq:2350MHz,,dBm:10,,Reading:-0.3610dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:9.8713,,Result:Pass,,TestTime:3290ms
38->,Freq:2400MHz,,dBm:10,,Reading:-0.3564dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:9.8862,,Result:Pass,,TestTime:3306ms
39->,Freq:2450MHz,,dBm:10,,Reading:-0.4049dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:9.9349,,Result:Pass,,TestTime:3333ms
40->,Freq:2500MHz,,dBm:10,,Reading:-0.4274dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:9.9078,,Result:Pass,,TestTime:3283ms
41->,Freq:2550MHz,,dBm:10,,Reading:-0.5276dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:9.9682,,Result:Pass,,TestTime:3324ms
42->,Freq:2600MHz,,dBm:10,,Reading:-0.4357dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:9.9551,,Result:Pass,,TestTime:3312ms
43->,Freq:2650MHz,,dBm:10,,Reading:-0.5188dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:9.9885,,Result:Pass,,TestTime:3320ms
44->,Freq:2700MHz,,dBm:10,,Reading:-0.7485dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:10.1286,,Result:Pass,,TestTime:3283ms
45->,Freq:2750MHz,,dBm:10,,Reading:-0.5557dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:10.0555,,Result:Pass,,TestTime:3290ms
46->,Freq:2800MHz,,dBm:10,,Reading:-0.8209dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:10.1911,,Result:Pass,,TestTime:3303ms
47->,Freq:2850MHz,,dBm:10,,Reading:-0.5554dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:10.0149,,Result:Pass,,TestTime:3308ms
48->,Freq:2900MHz,,dBm:10,,Reading:-0.5736dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:10.0736,,Result:Pass,,TestTime:3291ms
49->,Freq:2950MHz,,dBm:10,,Reading:-0.6487dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:10.1589,,Result:Pass,,TestTime:3295ms
50->,Freq:3000MHz,,dBm:10,,Reading:-0.7959dB,,LowLimit:9.78,,HighLimit:11.58,,CableLoss:10.2658,,Result:Pass,,TestTime:3274ms
51->,Freq:3050MHz,,dBm:10,,Reading:-0.4996dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:9.9599,,Result:Fail,,TestTime:3278ms
52->,Freq:3100MHz,,dBm:10,,Reading:-0.9622dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.4326,,Result:Pass,,TestTime:3283ms
53->,Freq:3150MHz,,dBm:10,,Reading:-0.4131dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:9.6937,,Result:Fail,,TestTime:3318ms
54->,Freq:3200MHz,,dBm:10,,Reading:-0.6449dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.1151,,Result:Pass,,TestTime:3266ms
55->,Freq:3250MHz,,dBm:10,,Reading:-0.6364dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.0369,,Result:Fail,,TestTime:3272ms
56->,Freq:3300MHz,,dBm:10,,Reading:-0.5789dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:9.8893,,Result:Fail,,TestTime:3283ms
57->,Freq:3350MHz,,dBm:10,,Reading:-1.1638dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.7142,,Result:Pass,,TestTime:3279ms
58->,Freq:3400MHz,,dBm:10,,Reading:-0.5387dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.0089,,Result:Fail,,TestTime:3260ms
59->,Freq:3450MHz,,dBm:10,,Reading:-0.7899dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.4898,,Result:Pass,,TestTime:3274ms
60->,Freq:3500MHz,,dBm:10,,Reading:-0.6391dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.1698,,Result:Pass,,TestTime:3281ms
61->,Freq:3550MHz,,dBm:10,,Reading:-0.9587dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.5896,,Result:Pass,,TestTime:3257ms
62->,Freq:3600MHz,,dBm:10,,Reading:-0.7194dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.0297,,Result:Fail,,TestTime:3259ms
63->,Freq:3650MHz,,dBm:10,,Reading:-1.6159dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:11.0762,,Result:Pass,,TestTime:3327ms
64->,Freq:3700MHz,,dBm:10,,Reading:-0.5600dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:9.8606,,Result:Fail,,TestTime:3310ms
65->,Freq:3750MHz,,dBm:10,,Reading:-1.2477dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.5870,,Result:Pass,,TestTime:3317ms
66->,Freq:3800MHz,,dBm:10,,Reading:-0.5454dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.1254,,Result:Pass,,TestTime:3301ms
67->,Freq:3850MHz,,dBm:10,,Reading:-0.4901dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:9.9411,,Result:Fail,,TestTime:3305ms
68->,Freq:3900MHz,,dBm:10,,Reading:-0.6501dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.2303,,Result:Pass,,TestTime:3285ms
69->,Freq:3950MHz,,dBm:10,,Reading:-0.9498dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.4497,,Result:Pass,,TestTime:3290ms
70->,Freq:4000MHz,,dBm:10,,Reading:-1.0903dB,,LowLimit:10.04,,HighLimit:11.84,,CableLoss:10.6297,,Result:Pass,,TestTime:3281ms
71->,Freq:4050MHz,,dBm:10,,Reading:-1.2102dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.7094,,Result:Pass,,TestTime:3300ms
72->,Freq:4100MHz,,dBm:10,,Reading:-0.8678dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.3083,,Result:Pass,,TestTime:3295ms
73->,Freq:4150MHz,,dBm:10,,Reading:-0.8976dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.4079,,Result:Pass,,TestTime:3330ms
74->,Freq:4200MHz,,dBm:10,,Reading:-1.2143dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.5836,,Result:Pass,,TestTime:3294ms
75->,Freq:4250MHz,,dBm:10,,Reading:-0.9317dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.4318,,Result:Pass,,TestTime:3314ms
76->,Freq:4300MHz,,dBm:10,,Reading:-1.5678dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.8973,,Result:Pass,,TestTime:3326ms
77->,Freq:4350MHz,,dBm:10,,Reading:-0.8004dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.2702,,Result:Fail,,TestTime:3299ms
78->,Freq:4400MHz,,dBm:10,,Reading:-0.6182dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.0680,,Result:Fail,,TestTime:3291ms
79->,Freq:4450MHz,,dBm:10,,Reading:-0.8824dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.3120,,Result:Pass,,TestTime:3303ms
80->,Freq:4500MHz,,dBm:10,,Reading:-0.8617dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.2922,,Result:Fail,,TestTime:3278ms
81->,Freq:4550MHz,,dBm:10,,Reading:-0.8693dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.3300,,Result:Pass,,TestTime:3267ms
82->,Freq:4600MHz,,dBm:10,,Reading:-1.1089dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.5092,,Result:Pass,,TestTime:3274ms
83->,Freq:4650MHz,,dBm:10,,Reading:-1.4072dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.8868,,Result:Pass,,TestTime:3301ms
84->,Freq:4700MHz,,dBm:10,,Reading:-1.0468dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.4960,,Result:Pass,,TestTime:3317ms
85->,Freq:4750MHz,,dBm:10,,Reading:-1.4042dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.8440,,Result:Pass,,TestTime:3273ms
86->,Freq:4800MHz,,dBm:10,,Reading:-1.1711dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.6412,,Result:Pass,,TestTime:3259ms
87->,Freq:4850MHz,,dBm:10,,Reading:-1.1673dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.5673,,Result:Pass,,TestTime:3306ms
88->,Freq:4900MHz,,dBm:10,,Reading:-1.4049dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.8045,,Result:Pass,,TestTime:3280ms
89->,Freq:4950MHz,,dBm:10,,Reading:-1.4837dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.8746,,Result:Pass,,TestTime:3283ms
90->,Freq:5000MHz,,dBm:10,,Reading:-1.3531dB,,LowLimit:10.3,,HighLimit:12.1,,CableLoss:10.7434,,Result:Pass,,TestTime:3327ms
91->,Freq:5050MHz,,dBm:10,,Reading:-1.2351dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.6053,,Result:Pass,,TestTime:3253ms
92->,Freq:5100MHz,,dBm:10,,Reading:-0.8294dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.1697,,Result:Fail,,TestTime:3309ms
93->,Freq:5150MHz,,dBm:10,,Reading:-1.2777dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.6786,,Result:Pass,,TestTime:3276ms
94->,Freq:5200MHz,,dBm:10,,Reading:-1.6529dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.9124,,Result:Pass,,TestTime:3304ms
95->,Freq:5250MHz,,dBm:10,,Reading:-0.9309dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.3811,,Result:Fail,,TestTime:3255ms
96->,Freq:5300MHz,,dBm:10,,Reading:-1.7642dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:11.0445,,Result:Pass,,TestTime:3272ms
97->,Freq:5350MHz,,dBm:10,,Reading:-1.2427dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.6625,,Result:Pass,,TestTime:3335ms
98->,Freq:5400MHz,,dBm:10,,Reading:-1.0307dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.3814,,Result:Fail,,TestTime:3292ms
99->,Freq:5450MHz,,dBm:10,,Reading:-1.8488dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:11.2582,,Result:Pass,,TestTime:3288ms
100->,Freq:5500MHz,,dBm:10,,Reading:-1.7040dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:11.1239,,Result:Pass,,TestTime:3306ms
101->,Freq:5550MHz,,dBm:10,,Reading:-1.5611dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.9015,,Result:Pass,,TestTime:3283ms
102->,Freq:5600MHz,,dBm:10,,Reading:-1.4389dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.9393,,Result:Pass,,TestTime:3268ms
103->,Freq:5650MHz,,dBm:10,,Reading:-0.6447dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:9.9944,,Result:Fail,,TestTime:3295ms
104->,Freq:5700MHz,,dBm:10,,Reading:-1.1771dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.5770,,Result:Fail,,TestTime:3284ms
105->,Freq:5750MHz,,dBm:10,,Reading:-1.6140dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.9936,,Result:Pass,,TestTime:3327ms
106->,Freq:5800MHz,,dBm:10,,Reading:-1.1514dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.3806,,Result:Fail,,TestTime:3269ms
107->,Freq:5850MHz,,dBm:10,,Reading:-2.0711dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:11.4112,,Result:Pass,,TestTime:3296ms
108->,Freq:5900MHz,,dBm:10,,Reading:-1.5670dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.7472,,Result:Pass,,TestTime:3284ms
109->,Freq:5950MHz,,dBm:10,,Reading:-1.0731dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.4738,,Result:Fail,,TestTime:3298ms
110->,Freq:6000MHz,,dBm:10,,Reading:-1.4438dB,,LowLimit:10.6,,HighLimit:12.4,,CableLoss:10.7338,,Result:Pass,,TestTime:3282ms
